strain,genome,family,gene,product,go_function,ontology_term
K-12 RV308,GCF_000952955.1,GCF_000952955.1|WP_071829664.1,,cold shock domain-containing protein,nucleic acid binding|0003676||IEA,GO:0003676
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_000052882.1,yffP,protein YffP,,
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_000398186.1,yffO,protein YffO,,
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_000458337.1,yffL,protein YffL,,
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_000683389.1,yffN,protein YffN,,
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_000770705.1,yffQ,protein YffQ,,
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_000865921.1,yffR,protein YffR,,
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_001270762.1,,hypothetical protein,,
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_010723122.1,yffM,protein YffM,,
K-12 HMS174,GCF_000953515.1,GCF_000953515.1|WP_010723125.1,yffS,protein YffS,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000019009.1,,LysR family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
CI5,GCF_000971615.1,GCF_000971615.1|WP_000106442.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000152739.1,,DUF6088 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000152800.1,,type VI secretion lipoprotein TssJ,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000166365.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000171568.1,,HP1 family phage holin,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000185422.1,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,GO:0003677
CI5,GCF_000971615.1,GCF_000971615.1|WP_000207842.1,,HNH endonuclease,"nucleic acid binding|0003676||IEA,endonuclease activity|0004519||IEA,zinc ion binding|0008270||IEA","GO:0003676,GO:0004519,GO:0008270"
CI5,GCF_000971615.1,GCF_000971615.1|WP_000243498.1,bfpA,type IV pilus major subunit protein BfpA,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000342497.1,,nucleotidyl transferase AbiEii/AbiGii toxin family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000360581.1,,phage protein Gp27 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000362155.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000371307.1,,DUF4145 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000391950.1,,transcriptional regulator,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000402944.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000450723.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000451345.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000460900.1,,phage regulatory CII family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000469794.1,,metal-dependent hydrolase,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000581650.1,,DUF4411 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000622057.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000625667.1,,DUF2254 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000628099.1,traS,conjugal transfer entry exclusion protein TraS,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000702013.1,,esterase-like activity of phytase family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000737725.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000741702.1,,ImmA/IrrE family metallo-endopeptidase,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000763311.1,,GpE family phage tail protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000773311.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000835433.1,,type I secretion system permease/ATPase,"ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA,ATPase-coupled lipid transmembrane transporter activity|0034040||IEA,ABC-type transporter activity|0140359||IEA","GO:0030253,GO:0005524,GO:0016887,GO:0034040,GO:0140359,GO:0030256"
CI5,GCF_000971615.1,GCF_000971615.1|WP_000852372.1,,Mor transcription activator family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000872077.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000930136.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000993248.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_000996717.1,,DUF5347 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001039467.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001060171.1,,DUF2608 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001066128.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001072337.1,,helix-turn-helix transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
CI5,GCF_000971615.1,GCF_000971615.1|WP_001132895.1,,type II toxin-antitoxin system Phd/YefM family antitoxin,"DNA binding|0003677||IEA,toxin sequestering activity|0097351||IEA","GO:0006355,GO:0045927,GO:0003677,GO:0097351,GO:0110001"
CI5,GCF_000971615.1,GCF_000971615.1|WP_001244228.1,,DUF2732 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001266279.1,,helix-turn-helix domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001267006.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001279080.1,,VpaChn25_0724 family phage protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001281013.1,,phage tail assembly protein,,GO:0098003
CI5,GCF_000971615.1,GCF_000971615.1|WP_001315863.1,,SIS domain-containing protein,carbohydrate derivative binding|0097367||IEA,"GO:1901135,GO:0097367"
CI5,GCF_000971615.1,GCF_000971615.1|WP_001317336.1,,porin,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001350183.1,,phage filamentation protein Fil family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001365705.1,tap,RepA leader peptide Tap,,"GO:0006276,GO:0031556"
CI5,GCF_000971615.1,GCF_000971615.1|WP_001402047.1,,flagellar hook-length control protein FliK,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001402123.1,tssL,type VI secretion system protein TssL%2C long form,,"GO:0033103,GO:0033104"
CI5,GCF_000971615.1,GCF_000971615.1|WP_001518830.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_001575658.1,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,GO:0003677
CI5,GCF_000971615.1,GCF_000971615.1|WP_016262936.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_021568783.1,,GntR family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0003677,GO:0003700"
CI5,GCF_000971615.1,GCF_000971615.1|WP_021572669.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_023155945.1,,DUF6387 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_024189479.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_028131426.1,,carbohydrate kinase family protein,"ATP binding|0005524||IEA,kinase activity|0016301||IEA,phosphotransferase activity%2C alcohol group as acceptor|0016773||IEA,carbohydrate kinase activity|0019200||IEA","GO:0005975,GO:0016310,GO:0005524,GO:0016301,GO:0016773,GO:0019200,GO:0005829"
CI5,GCF_000971615.1,GCF_000971615.1|WP_032164298.1,,Com family DNA-binding transcriptional regulator,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_032200197.1,,DNZ54_00345 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_032201390.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_032217617.1,tssM,type VI secretion system membrane subunit TssM,,GO:0033103
CI5,GCF_000971615.1,GCF_000971615.1|WP_032217640.1,,transcriptional regulator,DNA binding|0003677||IEA,GO:0003677
CI5,GCF_000971615.1,GCF_000971615.1|WP_032246098.1,,PAAR domain-containing protein,zinc ion binding|0008270||IEA,GO:0008270
CI5,GCF_000971615.1,GCF_000971615.1|WP_032325769.1,,tyrosine-type recombinase/integrase,site-specific recombinase activity|0009009||IEA,"GO:0006310,GO:0009009"
CI5,GCF_000971615.1,GCF_000971615.1|WP_032325773.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_032325774.1,,ThiF family adenylyltransferase,ubiquitin-like modifier activating enzyme activity|0008641||IEA,GO:0008641
CI5,GCF_000971615.1,GCF_000971615.1|WP_033816661.1,,DUF2730 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_034172990.1,,terminase small subunit,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_034172997.1,,DUF826 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_034173271.1,,helix-turn-helix domain-containing protein,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
CI5,GCF_000971615.1,GCF_000971615.1|WP_042201934.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_042201937.1,,DUF4755 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_042201948.1,,DUF3800 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_042201950.1,,conjugal transfer protein TraD,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_042202737.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_042202738.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201411.1,ltrA,group II intron reverse transcriptase/maturase,RNA-directed DNA polymerase activity|0003964||IEA,"GO:0000373,GO:0003964"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201419.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201420.1,,O-antigen polymerase,O antigen polymerase activity|0008755||IEA,"GO:0008755,GO:0016020"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201421.1,,glycosyltransferase family 2 protein,glycosyltransferase activity|0016757||IEA,GO:0016757
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201422.1,,oligosaccharide flippase family protein,,GO:0016020
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201424.1,,glycosyltransferase family 2 protein,glycosyltransferase activity|0016757||IEA,GO:0016757
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201429.1,,DNA-binding protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201430.1,,DUF6602 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201431.1,,DUF4756 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201432.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201433.1,,replication/maintenance protein RepL,,"GO:0006260,GO:0006276"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201434.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201435.1,,DUF4238 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201436.1,,lipoprotein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201438.1,mobQ,MobQ family relaxase,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201439.1,pilV,shufflon system plasmid conjugative transfer pilus tip adhesin PilV,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201440.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201471.1,,Hok/Gef family protein,,GO:0016020
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201483.1,,RusA family crossover junction endodeoxyribonuclease,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201501.1,,phage tail tape measure protein,structural molecule activity|0005198||IEA,"GO:0016032,GO:0005198"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201542.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201544.1,,DNA primase family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201547.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201550.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201602.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201603.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201604.1,,DUF826 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201607.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201609.1,,baseplate J/gp47 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201613.1,,DNA circularization protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201615.1,,phage tail assembly protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201616.1,,phage tail tube protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201618.1,,DUF2635 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201622.1,,Mu-like prophage major head subunit gpT family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201624.1,,phage virion morphogenesis protein,structural molecule activity|0005198||IEA,"GO:0016032,GO:0005198,GO:0044423"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201630.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201633.1,,DNA-binding protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201634.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201637.1,,host-nuclease inhibitor Gam family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201639.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201640.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201641.1,,AAA family ATPase,ATP hydrolysis activity|0016887||IEA,GO:0016887
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201643.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201661.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201662.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201663.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201664.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201665.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201666.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201667.1,,gp16 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201669.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201670.1,,TraR/DksA family transcriptional regulator,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201671.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201672.1,,phage head morphogenesis protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201673.1,,phage protease,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201674.1,,HI1506-related protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201675.1,,gp436 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201676.1,,DUF1834 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201679.1,,tape measure protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201682.1,,YmfQ family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201687.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201688.1,,DNA cytosine methyltransferase,"DNA binding|0003677||IEA,DNA (cytosine-5-)-methyltransferase activity|0003886||IEA,methyltransferase activity|0008168||IEA,S-adenosyl-L-methionine binding|1904047||IEA","GO:0006304,GO:0003677,GO:0003886,GO:0008168,GO:1904047"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201689.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201709.1,,tail fiber assembly protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201715.1,,DUF935 domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201717.1,tssK,type VI secretion system baseplate subunit TssK,,GO:0033103
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201718.1,,DotU family type IV/VI secretion system protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201719.1,,type VI secretion protein IcmF/TssM N-terminal domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201721.1,,VasL domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201722.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201729.1,,helix-turn-helix transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0006355,GO:0003677,GO:0003700"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201731.1,,TolC family protein,efflux transmembrane transporter activity|0015562||IEA,"GO:0055085,GO:0015562"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201741.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201743.1,,cytochrome b562,"iron ion binding|0005506||IEA,electron transfer activity|0009055||IEA,heme binding|0020037||IEA","GO:0022900,GO:0005506,GO:0009055,GO:0020037,GO:0042597"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201747.1,,type II toxin-antitoxin system RelE/ParE family toxin,toxin activity|0090729||IEA,"GO:0090729,GO:0110001"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201748.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201757.1,trbF,F-type conjugal transfer protein TrbF,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201769.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201770.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201772.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201782.1,,conjugal transfer protein TraJ,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201786.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201802.1,,tyrosine-type recombinase/integrase,site-specific recombinase activity|0009009||IEA,"GO:0006310,GO:0009009"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201804.1,,GntR family transcriptional regulator,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA","GO:0003677,GO:0003700"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201806.1,,YhcH/YjgK/YiaL family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201807.1,,sugar kinase,carbohydrate kinase activity|0019200||IEA,"GO:0005975,GO:0019200,GO:0005829"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201808.1,,C-terminal binding protein,"chromatin binding|0003682||IEA,transcription corepressor activity|0003714||IEA,oxidoreductase activity%2C acting on the CH-OH group of donors%2C NAD or NADP as acceptor|0016616||IEA,NAD+ binding|0070403||IEA,DNA-binding transcription factor binding|0140297||IEA","GO:0006351,GO:0003682,GO:0003714,GO:0016616,GO:0070403,GO:0140297"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201809.1,,MFS transporter,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857"
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201812.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201820.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201825.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201826.1,,lysozyme family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_046201827.1,tssF,type VI secretion system baseplate subunit TssF,,GO:0033103
CI5,GCF_000971615.1,GCF_000971615.1|WP_052734126.1,,protein-export chaperone SecB,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_052734129.1,,alpha/beta hydrolase,hydrolase activity|0016787||IEA,GO:0016787
CI5,GCF_000971615.1,GCF_000971615.1|WP_052734131.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_058153243.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_071790912.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_071886252.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_071886256.1,,phage filamentation protein Fil family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_071886274.1,,replication protein RepA,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_071886277.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_071886281.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_072134538.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_077787734.1,,phage baseplate assembly protein V,structural molecule activity|0005198||IEA,"GO:0019068,GO:0005198,GO:0044423"
CI5,GCF_000971615.1,GCF_000971615.1|WP_077787746.1,,fimbrial protein,,"GO:0007155,GO:0009289"
CI5,GCF_000971615.1,GCF_000971615.1|WP_077787749.1,,sialate O-acetylesterase,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_099355921.1,,type IV secretion protein Rhs,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_135452264.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_139108876.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_139108877.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_139108882.1,,fimbrial protein,,"GO:0007155,GO:0009289"
CI5,GCF_000971615.1,GCF_000971615.1|WP_144405567.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_144405573.1,tssG,type VI secretion system baseplate subunit TssG,,GO:0033103
CI5,GCF_000971615.1,GCF_000971615.1|WP_200896486.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_211114082.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_225387439.1,lysC,Rz1-like lysis system protein LysC,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_225877598.1,,PAAR domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468206.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468207.1,,group II intron maturase-specific domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468208.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468209.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468210.1,,bacteriophage T4 gp5 trimerisation domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468211.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468212.1,,DUF6931 family protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468215.1,,Ig-like domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468216.1,,helix-turn-helix domain-containing protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_244468220.1,,AvrPphF family type III effector,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_348271000.1,,host cell division inhibitor Icd-like protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_348271003.1,,PapB/FocB family fimbrial expression transcriptional regulator,,GO:0006355
CI5,GCF_000971615.1,GCF_000971615.1|WP_407981370.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_409071766.1,,PapB/FocB family fimbrial expression transcriptional regulator,,GO:0006355
CI5,GCF_000971615.1,GCF_000971615.1|WP_409071767.1,,hypothetical protein,,
CI5,GCF_000971615.1,GCF_000971615.1|WP_432276681.1,,Mu transposase C-terminal domain-containing protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000005570.1,,McrC family protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000008726.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000008820.1,,ANR family transcriptional regulator,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000012391.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000014505.1,,DNA-binding protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000016209.1,,helix-turn-helix transcriptional regulator,DNA binding|0003677||IEA,GO:0003677
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000019300.1,,ETEC_3214 family protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000020242.1,,3-hydroxy-fatty acyl-ACP dehydratase,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000021850.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000022949.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000025002.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000028685.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000033880.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000039786.1,,inverse autotransporter beta domain-containing protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000039876.1,,DUF262 domain-containing protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000045627.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000045904.1,,glycosyltransferase,glycosyltransferase activity|0016757||IEA,GO:0016757
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000051355.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000051491.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000051843.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000056168.1,mzaC,MZA anti-phage system associated Z1 domain-containing protein MzaC,,GO:0051607
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000061531.1,,helix-turn-helix domain-containing protein,DNA binding|0003677||IEA,GO:0003677
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000063839.1,,RecT family recombinase,DNA binding|0003677||IEA,"GO:0006310,GO:0003677"
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000086422.1,,DnaT-like ssDNA-binding domain-containing protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000086751.1,,hypothetical protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000089318.1,,RbtT/DalT/CsbX family MFS transporter,transmembrane transporter activity|0022857||IEA,"GO:0055085,GO:0022857,GO:0016020"
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000090998.1,,phage tail tube protein,,
SEC470,GCF_000987875.1,GCF_000987875.1|WP_000105682.1,,autotransporter strand-loop-strand O-heptosyltransferase,glycosyltransferase activity|0016757||IEA,GO:0016757
